accuracy	0.827228	0.831871	0.828997	0.828555	0.833567	0.835852	0.834893	0.832166	0.832314	0.835778	0.829144	0.834525	0.833714	0.827154	0.834304	0.831061	0.835999	0.837031	0.836589	0.833272	0.833567	0.826859	0.829071	0.826712	0.828923	0.831798	0.837473	0.835041	0.839832	0.828776	0.841380	0.835041	0.832093	0.832830	0.838284	0.831945	0.828997	0.831577	0.835631	0.836073	0.834525	0.830471	0.837768	0.835262	0.837694	0.836810	0.835925	0.835852	0.836662	0.831429	0.833366	0.003534
recall1	0.535182	0.534519	0.531704	0.521093	0.539474	0.544448	0.549148	0.526316	0.531250	0.544444	0.511471	0.544435	0.538394	0.528940	0.536266	0.515965	0.545102	0.537065	0.544720	0.536184	0.528443	0.508172	0.537493	0.504962	0.536206	0.528324	0.553739	0.542014	0.553268	0.532787	0.551766	0.552171	0.524284	0.545701	0.569837	0.517820	0.515052	0.543916	0.554524	0.547277	0.544885	0.534539	0.555923	0.554825	0.564180	0.545290	0.535299	0.546686	0.548482	0.529104	0.538062	0.013784
recall0	0.925853	0.930338	0.929904	0.930007	0.929766	0.931058	0.928474	0.934488	0.930169	0.930546	0.935379	0.931041	0.932435	0.925672	0.932569	0.934417	0.931304	0.935737	0.932023	0.930451	0.933216	0.931974	0.924069	0.931166	0.927235	0.933563	0.928780	0.931349	0.933829	0.928381	0.934952	0.926544	0.931623	0.925673	0.925329	0.936787	0.932139	0.928797	0.927363	0.930465	0.929606	0.928389	0.929304	0.927104	0.925995	0.930961	0.934770	0.932363	0.932770	0.933965	0.930602	0.003013
recall_macro	0.730518	0.732428	0.730804	0.725550	0.734620	0.737753	0.738811	0.730402	0.730709	0.737495	0.723425	0.737738	0.735414	0.727306	0.734418	0.725191	0.738203	0.736401	0.738372	0.733318	0.730830	0.720073	0.730781	0.718064	0.731721	0.730944	0.741260	0.736681	0.743548	0.730584	0.743359	0.739358	0.727953	0.735687	0.747583	0.727304	0.723595	0.736356	0.740944	0.738871	0.737246	0.731464	0.742613	0.740964	0.745087	0.738125	0.735035	0.739525	0.740626	0.731534	0.734332	0.006380
precision1	0.709091	0.717582	0.720252	0.710697	0.715305	0.720681	0.715453	0.728827	0.712042	0.718304	0.725793	0.724273	0.727056	0.701575	0.723917	0.720717	0.722200	0.733333	0.723768	0.716054	0.720997	0.711314	0.697548	0.704279	0.712227	0.727273	0.714453	0.721825	0.732806	0.714566	0.732665	0.708591	0.712587	0.703617	0.712190	0.732195	0.713755	0.720804	0.713570	0.720079	0.717596	0.711804	0.718616	0.713682	0.711077	0.718377	0.729598	0.729560	0.731238	0.731001	0.718536	0.008558
precision0	0.855036	0.857867	0.854021	0.854762	0.860570	0.862175	0.862793	0.855009	0.859257	0.862628	0.851311	0.859995	0.858009	0.856081	0.859142	0.854764	0.862047	0.859998	0.862275	0.859803	0.858351	0.851742	0.859793	0.852812	0.856169	0.855121	0.866085	0.860867	0.864365	0.855172	0.865878	0.864791	0.858285	0.863041	0.869007	0.853394	0.854028	0.857663	0.864486	0.862791	0.861537	0.857713	0.865654	0.864113	0.868099	0.863747	0.859510	0.860383	0.861005	0.853971	0.859542	0.004332
precision_macro	0.782063	0.787724	0.787137	0.782729	0.787938	0.791428	0.789123	0.791918	0.785649	0.790466	0.788552	0.792134	0.792533	0.778828	0.791529	0.787740	0.792124	0.796666	0.793021	0.787929	0.789674	0.781528	0.778670	0.778545	0.784198	0.791197	0.790269	0.791346	0.798586	0.784869	0.799272	0.786691	0.785436	0.783329	0.790598	0.792795	0.783891	0.789234	0.789028	0.791435	0.789567	0.784758	0.792135	0.788897	0.789588	0.791062	0.794554	0.794971	0.796121	0.792486	0.789039	0.004742
f1score1	0.609983	0.612668	0.611780	0.601303	0.615070	0.620290	0.621366	0.611234	0.608501	0.619406	0.600069	0.621608	0.618661	0.603148	0.616120	0.601391	0.621277	0.620038	0.621608	0.613201	0.609883	0.592824	0.607149	0.588194	0.611808	0.612037	0.623913	0.619129	0.630505	0.610431	0.629477	0.620678	0.604101	0.614679	0.633110	0.606625	0.598338	0.619990	0.624073	0.621897	0.619427	0.610566	0.626886	0.624307	0.629168	0.619979	0.617526	0.625021	0.626810	0.613878	0.615223	0.009691
f1score0	0.889036	0.892634	0.890349	0.890798	0.893831	0.895294	0.894429	0.892983	0.893308	0.895301	0.891368	0.894109	0.893675	0.889517	0.894351	0.892817	0.895338	0.896270	0.895793	0.893733	0.894219	0.890054	0.890773	0.890268	0.890286	0.892622	0.896338	0.894722	0.897756	0.890274	0.899090	0.894603	0.893452	0.893261	0.896284	0.893148	0.891376	0.891814	0.894821	0.895351	0.894278	0.891653	0.896350	0.894501	0.896112	0.896095	0.895562	0.894928	0.895452	0.892179	0.893651	0.002253
f1score_macro	0.749510	0.752651	0.751065	0.746050	0.754451	0.757792	0.757898	0.752109	0.750904	0.757353	0.745718	0.757858	0.756168	0.746332	0.755236	0.747104	0.758308	0.758154	0.758700	0.753467	0.752051	0.741439	0.748961	0.739231	0.751047	0.752329	0.760125	0.756925	0.764130	0.750353	0.764283	0.757640	0.748777	0.753970	0.764697	0.749887	0.744857	0.755902	0.759447	0.758624	0.756853	0.751109	0.761618	0.759404	0.762640	0.758037	0.756544	0.759975	0.761131	0.753028	0.754437	0.005789
