accuracy	0.753333	0.770000	0.760000	0.740000	0.740000	0.730000	0.750000	0.806667	0.753333	0.766667	0.756667	0.716667	0.743333	0.743333	0.746667	0.773333	0.770000	0.720000	0.746667	0.760000	0.703333	0.756667	0.783333	0.733333	0.740000	0.763333	0.746667	0.726667	0.736667	0.733333	0.723333	0.713333	0.786667	0.776667	0.733333	0.730000	0.753333	0.733333	0.723333	0.743333	0.763333	0.746667	0.763333	0.723333	0.790000	0.706667	0.776667	0.746667	0.770000	0.723333	0.747933	0.022240
recall1	0.827103	0.911215	0.865672	0.888372	0.832512	0.830275	0.903553	0.889401	0.847619	0.853211	0.906404	0.846535	0.866337	0.819005	0.852941	0.889423	0.870192	0.826923	0.828431	0.841860	0.843750	0.892019	0.853881	0.873786	0.846154	0.868545	0.828054	0.856459	0.852041	0.841584	0.851485	0.853659	0.898148	0.873171	0.857843	0.829493	0.873239	0.828704	0.872449	0.893720	0.862385	0.840376	0.851675	0.842857	0.915493	0.844660	0.855140	0.881773	0.892523	0.830918	0.860059	0.025079
recall0	0.569767	0.418605	0.545455	0.364706	0.546392	0.463415	0.456311	0.590361	0.533333	0.536585	0.443299	0.448980	0.489796	0.531646	0.520833	0.510870	0.543478	0.478261	0.572917	0.552941	0.453704	0.425287	0.592593	0.425532	0.500000	0.505747	0.518987	0.428571	0.519231	0.510204	0.459184	0.410526	0.500000	0.568421	0.468750	0.469880	0.459770	0.488095	0.442308	0.408602	0.500000	0.517241	0.560440	0.444444	0.482759	0.404255	0.581395	0.463918	0.465116	0.483871	0.491536	0.053972
recall_macro	0.698435	0.664910	0.705563	0.626539	0.689452	0.646845	0.679932	0.739881	0.690476	0.694898	0.674851	0.647757	0.678066	0.675325	0.686887	0.700146	0.706835	0.652592	0.700674	0.697401	0.648727	0.658653	0.723237	0.649659	0.673077	0.687146	0.673521	0.642515	0.685636	0.675894	0.655334	0.632092	0.699074	0.720796	0.663297	0.649686	0.666505	0.658399	0.657378	0.651161	0.681193	0.678808	0.706057	0.643651	0.699126	0.624458	0.718268	0.672845	0.678820	0.657394	0.675798	0.025873
precision1	0.827103	0.795918	0.794521	0.779592	0.793427	0.804444	0.760684	0.850220	0.809091	0.830357	0.773109	0.760000	0.777778	0.830275	0.790909	0.804348	0.811659	0.781818	0.804762	0.826484	0.733032	0.791667	0.850000	0.769231	0.792793	0.811404	0.828054	0.774892	0.769585	0.779817	0.764444	0.757576	0.822034	0.813636	0.774336	0.803571	0.798283	0.806306	0.746725	0.770833	0.820961	0.809955	0.816514	0.779736	0.812500	0.756522	0.835616	0.774892	0.805907	0.781818	0.795183	0.026383
precision0	0.569767	0.654545	0.666667	0.563636	0.609195	0.506667	0.712121	0.671233	0.600000	0.578947	0.693548	0.586667	0.640000	0.512195	0.625000	0.671429	0.649351	0.550000	0.611111	0.580247	0.620253	0.616667	0.600000	0.606061	0.589744	0.611111	0.518987	0.565217	0.650602	0.609756	0.600000	0.565217	0.656250	0.675000	0.608108	0.513158	0.597015	0.525641	0.647887	0.633333	0.577465	0.569620	0.621951	0.547945	0.700000	0.542857	0.617284	0.652174	0.634921	0.562500	0.605781	0.050150
precision_macro	0.698435	0.725232	0.730594	0.671614	0.701311	0.655556	0.736402	0.760727	0.704545	0.704652	0.733329	0.673333	0.708889	0.671235	0.707955	0.737888	0.730505	0.665909	0.707937	0.703365	0.676642	0.704167	0.725000	0.687646	0.691268	0.711257	0.673521	0.670055	0.710094	0.694786	0.682222	0.661397	0.739142	0.744318	0.691222	0.658365	0.697649	0.665974	0.697306	0.702083	0.699213	0.689788	0.719232	0.663840	0.756250	0.649689	0.726450	0.713533	0.720414	0.672159	0.700482	0.027168
f1score1	0.827103	0.849673	0.828571	0.830435	0.812500	0.817156	0.825986	0.869369	0.827907	0.841629	0.834467	0.800937	0.819672	0.824601	0.820755	0.844749	0.839907	0.803738	0.816425	0.834101	0.784504	0.838852	0.851936	0.818182	0.818605	0.839002	0.828054	0.813636	0.808717	0.809524	0.805621	0.802752	0.858407	0.842353	0.813953	0.816327	0.834081	0.817352	0.804706	0.827740	0.841163	0.824885	0.833724	0.810069	0.860927	0.798165	0.845266	0.824885	0.847007	0.805621	0.825914	0.017546
f1score0	0.569767	0.510638	0.600000	0.442857	0.576087	0.484076	0.556213	0.628205	0.564706	0.556962	0.540881	0.508671	0.554913	0.521739	0.568182	0.580247	0.591716	0.511628	0.591398	0.566265	0.524064	0.503401	0.596273	0.500000	0.541176	0.553459	0.518987	0.487500	0.577540	0.555556	0.520231	0.475610	0.567568	0.617143	0.529412	0.490566	0.519481	0.506173	0.525714	0.496732	0.535948	0.542169	0.589595	0.490798	0.571429	0.463415	0.598802	0.542169	0.536913	0.520231	0.540464	0.040832
f1score_macro	0.698435	0.680156	0.714286	0.636646	0.694293	0.650616	0.691100	0.748787	0.696306	0.699295	0.687674	0.654804	0.687293	0.673170	0.694468	0.712498	0.715812	0.657683	0.703911	0.700183	0.654284	0.671127	0.724105	0.659091	0.679891	0.696231	0.673521	0.650568	0.693128	0.682540	0.662926	0.639181	0.712987	0.729748	0.671683	0.653446	0.676781	0.661762	0.665210	0.662236	0.688556	0.683527	0.711660	0.650433	0.716178	0.630790	0.722034	0.683527	0.691960	0.662926	0.683189	0.026007
