accuracy	0.371236	0.575279	0.687303	0.346599	0.761423	0.274795	0.401558	0.309328	0.400084	0.231207	0.742472	0.318383	0.379027	0.299221	0.358812	0.349126	0.387661	0.394820	0.326385	0.308907	0.654032	0.718046	0.331649	0.359865	0.695936	0.751948	0.760581	0.796799	0.387239	0.349126	0.790061	0.749000	0.727311	0.303432	0.408928	0.388713	0.365972	0.315014	0.632133	0.270583	0.764582	0.325963	0.269530	0.559907	0.261108	0.747736	0.411876	0.244894	0.399453	0.452306	0.468347	0.184961
recall1	0.934509	0.898533	0.800000	0.932611	0.767209	0.937578	0.907243	0.953431	0.936321	0.982630	0.813517	0.884848	0.964720	0.914251	0.887468	0.973978	0.961039	0.958228	0.899491	0.976942	0.857143	0.755422	0.945844	0.950237	0.789976	0.811298	0.733668	0.713568	0.861386	0.957711	0.721750	0.792289	0.826701	0.952986	0.952438	0.876313	0.937346	0.928839	0.882217	0.951852	0.781141	0.901155	0.962103	0.919082	0.924675	0.790850	0.920925	0.991337	0.927971	0.952264	0.891101	0.075764
recall0	0.258154	0.508013	0.664128	0.222307	0.760253	0.140324	0.301111	0.175693	0.283517	0.077606	0.728101	0.199286	0.256430	0.169345	0.254600	0.221208	0.263198	0.282395	0.212718	0.168662	0.613441	0.710130	0.208344	0.232266	0.675786	0.739341	0.766001	0.813559	0.290028	0.225095	0.804381	0.740177	0.707809	0.174407	0.291965	0.281346	0.247776	0.190476	0.576358	0.130490	0.760925	0.213098	0.125413	0.484060	0.132697	0.739458	0.305322	0.091855	0.287028	0.348423	0.381090	0.236925
recall_macro	0.596332	0.703273	0.732064	0.577459	0.763731	0.538951	0.604177	0.564562	0.609919	0.530118	0.770809	0.542067	0.610575	0.541798	0.571034	0.597593	0.612119	0.620311	0.556104	0.572802	0.735292	0.732776	0.577094	0.591252	0.732881	0.775320	0.749834	0.763564	0.575707	0.591403	0.763065	0.766233	0.767255	0.563696	0.622201	0.578830	0.592561	0.559658	0.729288	0.541171	0.771033	0.557127	0.543758	0.701571	0.528686	0.765154	0.613123	0.541596	0.607499	0.650344	0.636095	0.085393
precision1	0.201850	0.275384	0.328767	0.202773	0.392949	0.181182	0.204996	0.193532	0.221232	0.178821	0.377030	0.188533	0.213574	0.188590	0.190085	0.203838	0.220656	0.210395	0.184740	0.197886	0.307065	0.355644	0.193457	0.211053	0.343005	0.397995	0.387011	0.435249	0.199199	0.201202	0.436123	0.383273	0.356984	0.186521	0.224496	0.211669	0.204942	0.188832	0.317144	0.183746	0.419113	0.183481	0.186272	0.273348	0.171031	0.368229	0.217217	0.182877	0.216830	0.232934	0.254655	0.082940
precision0	0.951538	0.960096	0.941685	0.939590	0.941675	0.917219	0.942338	0.947874	0.953448	0.956250	0.950744	0.891676	0.972008	0.903401	0.919854	0.976484	0.968868	0.971329	0.914317	0.972100	0.955529	0.932016	0.950404	0.955743	0.937567	0.948575	0.934568	0.933798	0.910757	0.963124	0.932389	0.945902	0.954160	0.949176	0.966130	0.911740	0.950292	0.929543	0.956410	0.929476	0.940280	0.916576	0.940840	0.965903	0.901024	0.948487	0.948576	0.981030	0.949324	0.972321	0.944083	0.020567
precision_macro	0.576694	0.617740	0.635226	0.571182	0.667312	0.549200	0.573667	0.570703	0.587340	0.567536	0.663887	0.540105	0.592791	0.545996	0.554970	0.590161	0.594762	0.590862	0.549528	0.584993	0.631297	0.643830	0.571930	0.583398	0.640286	0.673285	0.660790	0.684523	0.554978	0.582163	0.684256	0.664588	0.655572	0.567848	0.595313	0.561704	0.577617	0.559188	0.636777	0.556611	0.679696	0.550029	0.563556	0.619626	0.536027	0.658358	0.582896	0.581953	0.583077	0.602627	0.599369	0.043320
f1score1	0.331991	0.421566	0.466019	0.333118	0.519712	0.303680	0.334426	0.321754	0.357899	0.302579	0.515260	0.310837	0.349724	0.312681	0.313106	0.337122	0.358907	0.345032	0.306525	0.329109	0.452151	0.483610	0.321215	0.345392	0.478324	0.534019	0.506725	0.540695	0.323570	0.332542	0.543707	0.516626	0.498645	0.311980	0.363348	0.340976	0.336346	0.313858	0.466565	0.308030	0.545528	0.304886	0.312116	0.421373	0.288668	0.502492	0.351521	0.308790	0.351523	0.374308	0.385011	0.083645
f1score0	0.406126	0.664449	0.778919	0.359546	0.841294	0.243409	0.456389	0.296439	0.437068	0.143561	0.824659	0.325765	0.405803	0.285223	0.398815	0.360703	0.413946	0.437573	0.345138	0.287451	0.747192	0.806083	0.341767	0.373712	0.785438	0.830990	0.841930	0.869542	0.439954	0.364907	0.863667	0.830489	0.812726	0.294670	0.448418	0.430002	0.393066	0.316166	0.719267	0.228851	0.841148	0.345800	0.221324	0.644920	0.231325	0.831030	0.461953	0.167981	0.440784	0.513013	0.503008	0.225583
f1score_macro	0.369058	0.543007	0.622469	0.346332	0.680503	0.273545	0.395407	0.309096	0.397484	0.223070	0.669960	0.318301	0.377764	0.298952	0.355961	0.348913	0.386426	0.391303	0.325832	0.308280	0.599671	0.644846	0.331491	0.359552	0.631881	0.682504	0.674327	0.705118	0.381762	0.348724	0.703687	0.673558	0.655685	0.303325	0.405883	0.385489	0.364706	0.315012	0.592916	0.268441	0.693338	0.325343	0.266720	0.533147	0.259997	0.666761	0.406737	0.238385	0.396154	0.443660	0.444010	0.153767
