accuracy	0.645597	0.649919	0.648838	0.653160	0.647758	0.634252	0.660184	0.649379	0.645597	0.645597	0.641815	0.653701	0.669368	0.655321	0.652080	0.626688	0.653160	0.658563	0.645597	0.651540	0.643976	0.664506	0.666667	0.648838	0.645057	0.652620	0.645597	0.670989	0.656942	0.645057	0.659103	0.648298	0.643436	0.645057	0.643976	0.638033	0.653701	0.646137	0.634252	0.646137	0.649919	0.636413	0.632631	0.640735	0.654241	0.647758	0.659643	0.659643	0.646137	0.647218	0.649217	0.009001
recall1	0.699593	0.703779	0.700980	0.720280	0.697395	0.664659	0.703187	0.678707	0.678287	0.655851	0.691249	0.694831	0.697446	0.688413	0.704612	0.668337	0.697000	0.693294	0.692777	0.694864	0.678161	0.696970	0.713035	0.670554	0.680583	0.687438	0.697628	0.710448	0.683382	0.690873	0.683643	0.721443	0.670600	0.704040	0.690335	0.690855	0.699609	0.683044	0.715015	0.674038	0.704225	0.683495	0.674901	0.673019	0.687691	0.700795	0.710808	0.710394	0.689000	0.692611	0.691884	0.014407
recall0	0.584580	0.589450	0.584838	0.574118	0.589683	0.598830	0.609209	0.610763	0.606848	0.633094	0.581535	0.604734	0.635054	0.614078	0.587740	0.577960	0.601645	0.616487	0.592166	0.601399	0.599752	0.624396	0.608748	0.621655	0.600487	0.610714	0.582837	0.624113	0.624700	0.588942	0.628916	0.562720	0.610312	0.577236	0.587814	0.575148	0.597105	0.599016	0.543578	0.610358	0.586931	0.577345	0.581645	0.603044	0.616359	0.584615	0.595874	0.601163	0.595770	0.592105	0.598152	0.018279
recall_macro	0.642086	0.646614	0.642909	0.647199	0.643539	0.631745	0.656198	0.644735	0.642567	0.644472	0.636392	0.649782	0.666250	0.651245	0.646176	0.623148	0.649323	0.654891	0.642472	0.648131	0.638957	0.660683	0.660892	0.646104	0.640535	0.649076	0.640233	0.667281	0.654041	0.639908	0.656280	0.642081	0.640456	0.640638	0.639074	0.633001	0.648357	0.641030	0.629297	0.642198	0.645578	0.630420	0.628273	0.638032	0.652025	0.642705	0.653341	0.655778	0.642385	0.642358	0.645018	0.009121
precision1	0.655534	0.658071	0.674528	0.665743	0.665392	0.658706	0.680810	0.696585	0.671598	0.685509	0.668251	0.676670	0.700197	0.689756	0.676720	0.649464	0.672780	0.686523	0.657971	0.668605	0.686712	0.696289	0.694787	0.689311	0.681244	0.680039	0.668561	0.691860	0.689484	0.673040	0.693837	0.658737	0.677259	0.656927	0.669856	0.659393	0.681602	0.685024	0.637523	0.689282	0.664137	0.669838	0.660542	0.664356	0.669970	0.667614	0.686736	0.672397	0.666989	0.673372	0.674323	0.013605
precision0	0.632628	0.639303	0.614412	0.635417	0.624845	0.605201	0.633907	0.590799	0.614098	0.601367	0.607009	0.624694	0.632019	0.612591	0.618987	0.598301	0.628221	0.623942	0.629902	0.630037	0.590244	0.625151	0.629397	0.601176	0.599757	0.618818	0.615094	0.644689	0.618031	0.608696	0.617751	0.633245	0.603081	0.629114	0.610422	0.609787	0.617207	0.596814	0.629482	0.593525	0.631117	0.592500	0.597307	0.612366	0.635392	0.621384	0.623096	0.643035	0.619804	0.613383	0.617571	0.014290
precision_macro	0.644081	0.648687	0.644470	0.650580	0.645118	0.631954	0.657358	0.643692	0.642848	0.643438	0.637630	0.650682	0.666108	0.651173	0.647854	0.623883	0.650500	0.655233	0.643936	0.649321	0.638478	0.660720	0.662092	0.645244	0.640500	0.649428	0.641827	0.668275	0.653757	0.640868	0.655794	0.645991	0.640170	0.643021	0.640139	0.634590	0.649404	0.640919	0.633502	0.641404	0.647627	0.631169	0.628924	0.638361	0.652681	0.644499	0.654916	0.657716	0.643397	0.643377	0.645947	0.009014
f1score1	0.676847	0.680158	0.687500	0.691939	0.681018	0.661669	0.691818	0.687530	0.674926	0.670352	0.679555	0.685630	0.698819	0.689084	0.690385	0.658765	0.684676	0.689892	0.674926	0.681481	0.682410	0.696629	0.703793	0.679803	0.680913	0.683719	0.682785	0.701031	0.686420	0.681840	0.688703	0.688666	0.673913	0.679668	0.679942	0.674757	0.690488	0.684033	0.674049	0.681575	0.683594	0.676598	0.667644	0.668660	0.678715	0.683802	0.698565	0.690873	0.677816	0.682856	0.682825	0.009135
f1score0	0.607656	0.613365	0.599260	0.603214	0.606755	0.601999	0.621312	0.600615	0.610451	0.616822	0.593999	0.614552	0.633533	0.613333	0.602959	0.587955	0.614646	0.620192	0.610451	0.615385	0.594960	0.624773	0.618901	0.611244	0.600122	0.614739	0.598531	0.634234	0.621348	0.598656	0.623284	0.595903	0.606675	0.602059	0.598904	0.591961	0.606990	0.597913	0.583385	0.601824	0.608222	0.584824	0.589372	0.607670	0.625731	0.602439	0.609181	0.621394	0.607549	0.602556	0.607476	0.011613
f1score_macro	0.642251	0.646762	0.643380	0.647576	0.643886	0.631834	0.656565	0.644073	0.642688	0.643587	0.636777	0.650091	0.666176	0.651209	0.646672	0.623360	0.649661	0.655042	0.642688	0.648433	0.638685	0.660701	0.661347	0.645523	0.640517	0.649229	0.640658	0.667633	0.653884	0.640248	0.655993	0.642284	0.640294	0.640864	0.639423	0.633359	0.648739	0.640973	0.628717	0.641699	0.645908	0.630711	0.628508	0.638165	0.652223	0.643121	0.653873	0.656134	0.642683	0.642706	0.645150	0.009148
roc_auc	0.642086	0.646614	0.642909	0.647199	0.643539	0.631745	0.656198	0.644735	0.642567	0.644472	0.636392	0.649782	0.666250	0.651245	0.646176	0.623148	0.649323	0.654891	0.642472	0.648131	0.638957	0.660683	0.660892	0.646104	0.640535	0.649076	0.640233	0.667281	0.654041	0.639908	0.656280	0.642081	0.640456	0.640638	0.639074	0.633001	0.648357	0.641030	0.629297	0.642198	0.645578	0.630420	0.628273	0.638032	0.652025	0.642705	0.653341	0.655778	0.642385	0.642358	0.645018	0.009121
mcc	0.286160	0.295294	0.287375	0.297759	0.288653	0.263698	0.313554	0.288426	0.285415	0.287908	0.274019	0.300463	0.332358	0.302419	0.294025	0.247030	0.299821	0.310123	0.286404	0.297450	0.277434	0.321403	0.322981	0.291347	0.281035	0.298505	0.282056	0.335554	0.307799	0.280774	0.312073	0.288046	0.280626	0.283649	0.279212	0.267586	0.297759	0.281949	0.262765	0.283601	0.293198	0.261588	0.257197	0.276393	0.304705	0.287198	0.308253	0.313488	0.285780	0.285734	0.290961	0.018101
spd	0.106654	0.118440	0.148042	0.143302	0.196390	0.137183	0.122068	0.124202	0.144016	0.127462	0.110975	0.153300	0.160975	0.126243	0.136121	0.123080	0.111065	0.133156	0.113250	0.111521	0.145472	0.105032	0.115611	0.113470	0.096123	0.167412	0.124387	0.121026	0.152677	0.181034	0.139176	0.089926	0.132560	0.130079	0.152623	0.145261	0.129974	0.101506	0.156089	0.128852	0.145955	0.133966	0.129298	0.129799	0.084606	0.144475	0.086118	0.110343	0.107147	0.120505	0.129359	0.022537

aod	0.085388	0.095613	0.122806	0.110867	0.174614	0.122626	0.090918	0.105898	0.124894	0.104896	0.091280	0.139289	0.140481	0.101077	0.112200	0.102828	0.072980	0.112912	0.096899	0.089994	0.120653	0.084169	0.086048	0.088353	0.074660	0.139416	0.099944	0.087050	0.122385	0.168638	0.120055	0.061390	0.103802	0.110360	0.126482	0.128002	0.099863	0.080696	0.150471	0.114390	0.131011	0.108024	0.112627	0.108545	0.052321	0.114195	0.066333	0.074375	0.086709	0.099659	0.106382	0.024903
eod	0.032812	0.052814	0.107126	0.102708	0.114414	0.073010	0.055269	0.049637	0.095111	0.078316	0.068771	0.095058	0.121437	0.071754	0.099400	0.058690	0.082390	0.101481	0.033311	0.036896	0.099830	0.062235	0.075774	0.087259	0.062116	0.131827	0.083861	0.083446	0.098202	0.112919	0.097311	0.051779	0.094398	0.047200	0.106183	0.072553	0.087956	0.039788	0.124490	0.075619	0.075998	0.074896	0.076154	0.072352	0.031627	0.089983	0.032590	0.072003	0.076822	0.071918	0.077990	0.025082
erd	0.029324	0.019833	0.017539	0.026376	0.020324	0.028166	0.009569	0.026852	0.006035	0.007780	0.001248	0.019402	0.006567	0.003914	0.015858	0.018067	0.033256	0.010022	0.042656	0.030869	0.011306	0.003156	0.015092	0.018816	0.007000	0.023293	0.011471	0.018492	0.003841	0.021921	0.000510	0.016648	0.015253	0.033214	0.012301	0.024547	0.016879	0.016632	0.009365	0.014057	0.029880	0.001859	0.011555	0.013407	0.004692	0.009758	0.013443	0.021877	0.008957	0.002796	0.015713	0.009579
