accuracy	0.858497	0.860813	0.860392	0.854496	0.857654	0.856391	0.859549	0.853443	0.858707	0.857654	0.861866	0.858707	0.858918	0.852390	0.866919	0.857444	0.855338	0.855338	0.862919	0.853443	0.855127	0.856812	0.858918	0.852390	0.850495	0.857865	0.859128	0.859549	0.857023	0.852179	0.858707	0.861445	0.868393	0.864182	0.850284	0.846283	0.854706	0.853443	0.858497	0.854706	0.849653	0.861445	0.858707	0.859760	0.857444	0.863129	0.854285	0.860602	0.856180	0.863971	0.857524	0.004323
recall1	0.374055	0.393643	0.380247	0.368231	0.403004	0.374532	0.392630	0.386029	0.400943	0.400744	0.404255	0.391515	0.407543	0.359903	0.410486	0.375465	0.390791	0.400000	0.388041	0.396845	0.364096	0.408434	0.386650	0.379147	0.377088	0.400240	0.389447	0.394472	0.383663	0.378109	0.373026	0.381841	0.431322	0.426938	0.384067	0.361727	0.374693	0.365793	0.393764	0.364198	0.366705	0.390244	0.393643	0.413043	0.398701	0.414379	0.379562	0.381188	0.390156	0.416157	0.389228	0.016539
recall0	0.955752	0.958026	0.959127	0.957631	0.949620	0.954154	0.952297	0.950420	0.958216	0.951052	0.954430	0.956932	0.953400	0.956389	0.956894	0.956114	0.956176	0.946199	0.957103	0.949299	0.953259	0.951773	0.953729	0.954673	0.951930	0.955068	0.953706	0.953200	0.954073	0.948796	0.960520	0.959189	0.954156	0.951035	0.950614	0.952980	0.954003	0.952381	0.962143	0.955572	0.956298	0.953904	0.955482	0.954093	0.946218	0.949297	0.953654	0.958894	0.955312	0.957019	0.954244	0.003372
recall_macro	0.664904	0.675834	0.669687	0.662931	0.676312	0.664343	0.672464	0.668224	0.679580	0.675898	0.679343	0.674223	0.680471	0.658146	0.683690	0.665789	0.673484	0.673099	0.672572	0.673072	0.658678	0.680104	0.670190	0.666910	0.664509	0.677654	0.671577	0.673836	0.668868	0.663453	0.666773	0.670515	0.692739	0.688986	0.667340	0.657354	0.664348	0.659087	0.677954	0.659885	0.661502	0.672074	0.674563	0.683568	0.672459	0.681838	0.666608	0.670041	0.672734	0.686588	0.671736	0.008061
precision1	0.629237	0.661191	0.656716	0.648305	0.618042	0.623701	0.620482	0.617647	0.675944	0.625969	0.642147	0.656504	0.646718	0.635394	0.652439	0.636555	0.659363	0.597353	0.642105	0.621673	0.608879	0.642045	0.626531	0.643863	0.626984	0.654224	0.628803	0.629259	0.631365	0.600791	0.664502	0.655983	0.648649	0.633962	0.625969	0.628803	0.627572	0.609148	0.698770	0.627660	0.649485	0.624230	0.647887	0.655172	0.589251	0.610790	0.631579	0.655319	0.650000	0.667976	0.637259	0.020660
precision0	0.883797	0.883623	0.882710	0.877250	0.887181	0.882615	0.887556	0.881812	0.880358	0.885897	0.887894	0.882077	0.884897	0.876168	0.891708	0.882050	0.878502	0.887678	0.887459	0.882311	0.882367	0.883677	0.885654	0.876764	0.877032	0.882311	0.885808	0.886588	0.883044	0.882159	0.879636	0.883906	0.895297	0.893103	0.877628	0.871476	0.880601	0.880975	0.876789	0.879645	0.872420	0.888550	0.883349	0.885025	0.890492	0.894090	0.880141	0.883150	0.880442	0.887500	0.883263	0.005005
precision_macro	0.756517	0.772407	0.769713	0.762778	0.752611	0.753158	0.754019	0.749729	0.778151	0.755933	0.765021	0.769290	0.765808	0.755781	0.772073	0.759302	0.768933	0.742516	0.764782	0.751992	0.745623	0.762861	0.756092	0.760314	0.752008	0.768268	0.757306	0.757923	0.757204	0.741475	0.772069	0.769944	0.771973	0.763532	0.751799	0.750139	0.754086	0.745061	0.787780	0.753652	0.760952	0.756390	0.765618	0.770099	0.739872	0.752440	0.755860	0.769235	0.765221	0.777738	0.760261	0.010049
f1score1	0.469194	0.493487	0.481626	0.469685	0.487879	0.468019	0.480934	0.475113	0.503331	0.488654	0.496160	0.490509	0.500000	0.459522	0.503925	0.472330	0.490734	0.479151	0.483743	0.484444	0.455696	0.499264	0.478193	0.477256	0.470939	0.496644	0.480993	0.484942	0.477290	0.464122	0.477821	0.482704	0.518119	0.510251	0.476050	0.459259	0.469231	0.457098	0.503693	0.460937	0.468750	0.480253	0.489734	0.506667	0.475600	0.493769	0.474164	0.482003	0.487622	0.512821	0.483006	0.014899
f1score0	0.918367	0.919321	0.919333	0.915680	0.917339	0.916991	0.918787	0.914831	0.917638	0.917319	0.919961	0.917981	0.917872	0.914523	0.923152	0.917590	0.915695	0.916004	0.920966	0.914580	0.916444	0.916462	0.918432	0.914062	0.912948	0.917249	0.918504	0.918688	0.917185	0.914265	0.918300	0.920010	0.923790	0.921159	0.912664	0.910407	0.915833	0.915287	0.917485	0.916038	0.912436	0.920068	0.918001	0.918262	0.917509	0.920867	0.915424	0.919465	0.916350	0.920950	0.917370	0.002646
f1score_macro	0.693781	0.706404	0.700480	0.692683	0.702609	0.692505	0.699861	0.694972	0.710485	0.702986	0.708060	0.704245	0.708936	0.687022	0.713538	0.694960	0.703215	0.697578	0.702355	0.699512	0.686070	0.707863	0.698313	0.695659	0.691943	0.706947	0.699749	0.701815	0.697238	0.689193	0.698061	0.701357	0.720954	0.715705	0.694357	0.684833	0.692532	0.686193	0.710589	0.688488	0.690593	0.700160	0.703867	0.712464	0.696555	0.707318	0.694794	0.700734	0.701986	0.716885	0.700188	0.008372
