accuracy	0.648838	0.668287	0.657482	0.654241	0.659103	0.654241	0.662885	0.659643	0.681794	0.653701	0.672069	0.672069	0.662885	0.664506	0.680173	0.654241	0.655321	0.662345	0.648838	0.663965	0.667207	0.656942	0.675311	0.662885	0.656402	0.666667	0.640735	0.662885	0.670989	0.659643	0.650999	0.659103	0.638033	0.655862	0.654781	0.640735	0.641275	0.665046	0.650999	0.640735	0.652080	0.661804	0.649919	0.655862	0.649379	0.667747	0.670989	0.670989	0.625068	0.638574	0.657925	0.011358
recall1	0.676171	0.646578	0.762745	0.718282	0.727455	0.730924	0.714143	0.695817	0.729084	0.679449	0.731563	0.684891	0.759332	0.699124	0.749755	0.746493	0.718000	0.717949	0.696846	0.706949	0.701149	0.686217	0.732490	0.758017	0.724272	0.702275	0.700593	0.754229	0.703048	0.698724	0.654261	0.716433	0.651917	0.724242	0.732742	0.713718	0.694716	0.727360	0.635342	0.685577	0.764588	0.713592	0.756917	0.653962	0.692777	0.721670	0.740019	0.722503	0.567000	0.674877	0.707936	0.036970
recall0	0.617952	0.692661	0.528279	0.578824	0.579132	0.564912	0.602125	0.612015	0.625738	0.622302	0.599520	0.656805	0.545018	0.621359	0.594952	0.546307	0.581669	0.594982	0.594470	0.614219	0.623296	0.620773	0.603888	0.543796	0.571255	0.623810	0.568534	0.554374	0.631894	0.611779	0.646988	0.592028	0.621103	0.577236	0.560335	0.553846	0.575392	0.585486	0.668578	0.583231	0.521587	0.596833	0.520858	0.658080	0.600230	0.603550	0.584951	0.611628	0.693302	0.594498	0.597528	0.038676
recall_macro	0.647061	0.669619	0.645512	0.648553	0.653294	0.647918	0.658134	0.653916	0.677411	0.650876	0.665542	0.670848	0.652175	0.660241	0.672353	0.646400	0.649834	0.656465	0.645658	0.660584	0.662223	0.653495	0.668189	0.650907	0.647763	0.663042	0.634563	0.654301	0.667471	0.655252	0.650624	0.654231	0.636510	0.650739	0.646538	0.633782	0.635054	0.656423	0.651960	0.634404	0.643087	0.655213	0.638888	0.656021	0.646504	0.662610	0.662485	0.667065	0.630151	0.634687	0.652732	0.011036
precision1	0.666667	0.702553	0.664957	0.667595	0.669124	0.661818	0.680266	0.702495	0.697807	0.686879	0.690167	0.703779	0.671007	0.697087	0.693915	0.658127	0.668529	0.682287	0.660559	0.679574	0.706564	0.690945	0.697868	0.675325	0.679417	0.692008	0.661998	0.667841	0.699609	0.687923	0.695109	0.672625	0.677222	0.663275	0.668767	0.655708	0.668550	0.691392	0.682766	0.678402	0.649573	0.689493	0.655822	0.690678	0.662451	0.684260	0.689655	0.681905	0.684783	0.668945	0.679521	0.014611
precision0	0.628070	0.635789	0.644640	0.635659	0.644909	0.643142	0.639900	0.604450	0.660848	0.614201	0.646831	0.636468	0.649499	0.623630	0.660000	0.648122	0.637066	0.635204	0.633907	0.644254	0.617178	0.615569	0.643782	0.642241	0.622842	0.635152	0.611538	0.655028	0.635706	0.623775	0.603371	0.640863	0.594037	0.645455	0.633784	0.619048	0.604563	0.627141	0.620213	0.591250	0.656388	0.624204	0.639824	0.619625	0.633050	0.645570	0.643525	0.656679	0.576735	0.600967	0.630914	0.018544
precision_macro	0.647368	0.669171	0.654799	0.651627	0.657017	0.652480	0.660083	0.653473	0.679328	0.650540	0.668499	0.670124	0.660253	0.660359	0.676957	0.653125	0.652797	0.658745	0.647233	0.661914	0.661871	0.653257	0.670825	0.658783	0.651130	0.663580	0.636768	0.661435	0.667657	0.655849	0.649240	0.656744	0.635629	0.654365	0.651275	0.637378	0.636556	0.659266	0.651489	0.634826	0.652980	0.656849	0.647823	0.655152	0.647751	0.664915	0.666590	0.669292	0.630759	0.634956	0.655218	0.010944
f1score1	0.671385	0.673404	0.710502	0.692012	0.697072	0.694656	0.696793	0.699140	0.713103	0.683144	0.710263	0.694207	0.712442	0.698104	0.720755	0.699531	0.692382	0.699664	0.678218	0.692991	0.703846	0.688573	0.714760	0.714286	0.701128	0.697104	0.680749	0.708411	0.701324	0.693281	0.674067	0.693838	0.664329	0.692419	0.699294	0.683484	0.681382	0.708920	0.658201	0.681970	0.702403	0.701336	0.702752	0.671819	0.677275	0.702467	0.713950	0.701617	0.620350	0.671898	0.692740	0.017561
f1score0	0.622970	0.663008	0.580688	0.605911	0.610253	0.601494	0.620438	0.608209	0.642814	0.618225	0.622278	0.646476	0.592689	0.622492	0.625790	0.592875	0.608108	0.614436	0.613555	0.628878	0.620222	0.618160	0.623197	0.588933	0.595934	0.629429	0.589253	0.600512	0.633794	0.617718	0.624419	0.615478	0.607268	0.609442	0.594800	0.584635	0.589617	0.605598	0.643488	0.587213	0.581274	0.610212	0.574244	0.638274	0.616203	0.623853	0.612842	0.633353	0.629669	0.597715	0.612767	0.018763
f1score_macro	0.647178	0.668206	0.645595	0.648961	0.653662	0.648075	0.658615	0.653675	0.677958	0.650684	0.666270	0.670341	0.652566	0.660298	0.673272	0.646203	0.650245	0.657050	0.645887	0.660935	0.662034	0.653366	0.668979	0.651609	0.648531	0.663267	0.635001	0.654462	0.667559	0.655500	0.649243	0.654658	0.635799	0.650931	0.647047	0.634059	0.635499	0.657259	0.650844	0.634592	0.641839	0.655774	0.638498	0.655046	0.646739	0.663160	0.663396	0.667485	0.625010	0.634806	0.652753	0.011360
