accuracy	0.638033	0.652620	0.630470	0.628309	0.639654	0.626688	0.652080	0.647758	0.634792	0.641275	0.639654	0.629930	0.639654	0.657482	0.648298	0.622907	0.644516	0.656402	0.642355	0.645057	0.635873	0.648298	0.657482	0.635873	0.634252	0.650999	0.629930	0.644516	0.646677	0.629390	0.642355	0.638033	0.636413	0.634252	0.643436	0.629390	0.652620	0.634252	0.618585	0.638033	0.618585	0.624527	0.632091	0.635873	0.648838	0.637493	0.648838	0.647758	0.632091	0.635873	0.639211	0.009609
recall1	0.711813	0.729316	0.715686	0.719281	0.710421	0.678715	0.728088	0.701521	0.709163	0.677483	0.709931	0.714712	0.703340	0.727361	0.740922	0.697395	0.721000	0.726824	0.729400	0.728097	0.712644	0.721408	0.733463	0.701652	0.718447	0.720079	0.734190	0.712438	0.707965	0.709519	0.699314	0.729459	0.703048	0.720202	0.699211	0.716700	0.721135	0.694605	0.730337	0.706731	0.713280	0.700000	0.700593	0.692076	0.715158	0.723658	0.737098	0.716448	0.706000	0.718227	0.713911	0.013761
recall0	0.554661	0.566514	0.525872	0.521176	0.556858	0.566082	0.561983	0.576971	0.546635	0.597122	0.553957	0.528994	0.561825	0.570388	0.534856	0.535756	0.554642	0.571087	0.543779	0.548951	0.536555	0.557971	0.562576	0.553528	0.528624	0.567857	0.504172	0.563830	0.571942	0.531250	0.572289	0.531067	0.555156	0.535424	0.575866	0.525444	0.568154	0.557196	0.493119	0.549938	0.508751	0.529842	0.549464	0.570258	0.573733	0.534911	0.538835	0.568605	0.545241	0.535885	0.549512	0.020666
recall_macro	0.633237	0.647915	0.620779	0.620229	0.633639	0.622398	0.645036	0.639246	0.627899	0.637303	0.631944	0.621853	0.632582	0.648875	0.637889	0.616575	0.637821	0.648956	0.636589	0.638524	0.624599	0.639689	0.648019	0.627590	0.623535	0.643968	0.619181	0.638134	0.639954	0.620385	0.635802	0.630263	0.629102	0.627813	0.637539	0.621072	0.644645	0.625900	0.611728	0.628335	0.611016	0.614921	0.625028	0.631167	0.644445	0.629285	0.637967	0.642526	0.625620	0.627056	0.631711	0.009898
precision1	0.643646	0.653846	0.649466	0.638864	0.652254	0.645654	0.663339	0.685874	0.649635	0.672195	0.659963	0.643688	0.662350	0.678474	0.661121	0.637363	0.655455	0.672445	0.644205	0.651351	0.665474	0.668478	0.676840	0.662994	0.656610	0.667278	0.641070	0.659908	0.668524	0.649596	0.667914	0.645390	0.658379	0.640611	0.666353	0.642602	0.673059	0.666975	0.617978	0.668182	0.627434	0.651310	0.652254	0.652791	0.655172	0.649420	0.665787	0.656799	0.645929	0.652641	0.655899	0.013098
precision0	0.630065	0.650856	0.601100	0.611878	0.621728	0.601990	0.635514	0.594839	0.613245	0.602906	0.610304	0.608992	0.607792	0.626667	0.627645	0.602108	0.628495	0.633113	0.639566	0.635628	0.590723	0.618474	0.628223	0.597113	0.599448	0.627632	0.611272	0.622715	0.616279	0.598916	0.607417	0.626556	0.605229	0.624661	0.612452	0.609053	0.623016	0.588312	0.619597	0.593875	0.604716	0.584677	0.603403	0.613350	0.640103	0.619178	0.621849	0.635065	0.612137	0.610354	0.615004	0.014700
precision_macro	0.636856	0.652351	0.625283	0.625371	0.636991	0.623822	0.649427	0.640356	0.631440	0.637550	0.635134	0.626340	0.635071	0.652570	0.644383	0.619735	0.641975	0.652779	0.641886	0.643489	0.628099	0.643476	0.652531	0.630053	0.628029	0.647455	0.626171	0.641312	0.642401	0.624256	0.637665	0.635973	0.631804	0.632636	0.639403	0.625828	0.648038	0.627643	0.618787	0.631028	0.616075	0.617994	0.627829	0.633071	0.647638	0.634299	0.643818	0.645932	0.629033	0.631498	0.635452	0.009733
f1score1	0.676015	0.689522	0.680970	0.676692	0.680096	0.661772	0.694207	0.693609	0.678095	0.674829	0.684036	0.677343	0.682230	0.702068	0.698751	0.666029	0.686667	0.698578	0.684160	0.687589	0.688252	0.693935	0.704015	0.681775	0.686138	0.692674	0.684477	0.685167	0.687679	0.678236	0.683254	0.684854	0.679981	0.678079	0.682387	0.677632	0.696268	0.680510	0.669476	0.686916	0.667608	0.674778	0.675560	0.671860	0.683852	0.684532	0.699630	0.685328	0.674630	0.683865	0.683532	0.009113
f1score0	0.589963	0.605763	0.560976	0.562897	0.587508	0.583484	0.596491	0.585769	0.578027	0.600000	0.580767	0.566181	0.583905	0.597205	0.577547	0.566998	0.589263	0.600503	0.587796	0.589118	0.562338	0.586667	0.593590	0.574495	0.561812	0.596250	0.552580	0.591811	0.593284	0.563057	0.589330	0.574873	0.579112	0.576610	0.593596	0.564168	0.594322	0.572331	0.549170	0.571063	0.552598	0.555911	0.575172	0.591019	0.605103	0.573968	0.577373	0.600000	0.576756	0.570701	0.580184	0.014522
f1score_macro	0.632989	0.647643	0.620973	0.619794	0.633802	0.622628	0.645349	0.639689	0.628061	0.637414	0.632401	0.621762	0.633067	0.649636	0.638149	0.616513	0.637965	0.649540	0.635978	0.638354	0.625295	0.640301	0.648802	0.628135	0.623975	0.644462	0.618529	0.638489	0.640481	0.620647	0.636292	0.629864	0.629546	0.627345	0.637991	0.620900	0.645295	0.626420	0.609323	0.628989	0.610103	0.615344	0.625366	0.631440	0.644478	0.629250	0.638502	0.642664	0.625693	0.627283	0.631858	0.010160
